,images,States
0,resources/license-plates/license_plate10.jpeg,arizona
1,resources/license-plates/license_plate11.png,texas
2,resources/license-plates/license_plate12.jpeg,texas
3,resources/license-plates/license_plate13.jpeg,alabama
4,resources/license-plates/license_plate3.png,massachusetts
5,resources/license-plates/license_plate4.jpeg,pennsylvania
6,resources/license-plates/license_plate6.jpeg,california
7,resources/license-plates/license_plate7.jpg,nevada
8,resources/license-plates/license_plate8.png,ohio
9,resources/license-plates/license_plate9.jpeg,alabama
